depth,method,dataset,mean,std
3,CART,abalone,0.5909402145368374,0.026640130978227948
3,CART,cars,0.25023794009358913,0.028289103048016306
3,CART,cholesterol,1.499608515752743,0.24414750794975254
3,CART,wage,1.0364269712710064,0.14561002411188875
3,CART,wine,0.8109603284202445,0.008608171182747159
3,GATREE,abalone,0.5953243636130485,0.04362476352474252
3,GATREE,cars,0.19773442317037127,0.039264651650564766
3,GATREE,cholesterol,1.4266885080642948,0.18749464252886724
3,GATREE,wage,1.1495859397081984,0.1491117274685381
3,GATREE,wine,0.8247831408636188,0.015780063534796763
3,LLEGO,abalone,0.5839065237923304,0.029611187402217878
3,LLEGO,cars,0.19992314125435248,0.03682366513760467
3,LLEGO,cholesterol,1.32363001337102,0.1392846953079206
3,LLEGO,wage,1.0454433387758326,0.1494342117677918
3,LLEGO,wine,0.8144900711062029,0.010006447593393437
4,CART,abalone,0.5612208633757063,0.017974321806115665
4,CART,cars,0.26917900581523696,0.041164329152208766
4,CART,cholesterol,1.5519086472393775,0.2296331652923862
4,CART,wage,1.1848700223319082,0.1929226973744334
4,CART,wine,0.8072203237977055,0.0039871482511508105
4,GATREE,abalone,0.5857576236809822,0.03605511538060472
4,GATREE,cars,0.10048476182746528,0.020370644344432254
4,GATREE,cholesterol,1.3430849029231218,0.15772932282536511
4,GATREE,wage,1.1880694561295153,0.16834093019342378
4,GATREE,wine,0.8473255496931795,0.017200883088785937
4,LLEGO,abalone,0.5768132468103955,0.02909515975031219
4,LLEGO,cars,0.0986759408248675,0.020399093615235616
4,LLEGO,cholesterol,1.322213194420954,0.14508865064368062
4,LLEGO,wage,1.066612404425599,0.20271371140273164
4,LLEGO,wine,0.8279420675349488,0.02607048672308053
