depth,method,dataset,seed,mse
3,CART,abalone,0,0.6017183538211609
3,CART,abalone,1,0.5986974004514829
3,CART,abalone,2,0.5624941962503517
3,CART,abalone,3,0.6259301845950446
3,CART,abalone,4,0.5658609375661472
3,CART,cars,0,0.27179091363887237
3,CART,cars,1,0.25495684867788637
3,CART,cars,2,0.2820842927183381
3,CART,cars,3,0.21880818385791145
3,CART,cars,4,0.2235494615749375
3,CART,cholesterol,0,1.7759559510998322
3,CART,cholesterol,1,1.1814003145087288
3,CART,cholesterol,2,1.660646532479351
3,CART,cholesterol,3,1.3221793056449922
3,CART,cholesterol,4,1.557860475030811
3,CART,wage,0,1.1545179312369993
3,CART,wage,1,0.9402271619620796
3,CART,wage,2,0.9227294272275267
3,CART,wage,3,1.2314406972635656
3,CART,wage,4,0.9332196386648602
3,CART,wine,0,0.8225062557743266
3,CART,wine,1,0.8049826007291675
3,CART,wine,2,0.8161639287679872
3,CART,wine,3,0.8101715733612858
3,CART,wine,4,0.8009772834684552
3,GATREE,abalone,0,0.5848232830287308
3,GATREE,abalone,1,0.603089756459116
3,GATREE,abalone,2,0.5690425172104414
3,GATREE,abalone,3,0.6660921826517097
3,GATREE,abalone,4,0.5535740787152444
3,GATREE,cars,0,0.24641476952706998
3,GATREE,cars,1,0.19867152254552775
3,GATREE,cars,2,0.22196971336719593
3,GATREE,cars,3,0.17632795545238863
3,GATREE,cars,4,0.14528815495967407
3,GATREE,cholesterol,0,1.6532741359654923
3,GATREE,cholesterol,1,1.1328900258140144
3,GATREE,cholesterol,2,1.4752148899657753
3,GATREE,cholesterol,3,1.4213864874203115
3,GATREE,cholesterol,4,1.450677001155881
3,GATREE,wage,0,1.1711517772302307
3,GATREE,wage,1,1.1017394072916382
3,GATREE,wage,2,1.2096305823333084
3,GATREE,wage,3,1.335197782873375
3,GATREE,wage,4,0.9302101488124402
3,GATREE,wine,0,0.8062487122502894
3,GATREE,wine,1,0.8285107752308559
3,GATREE,wine,2,0.8142138725229877
3,GATREE,wine,3,0.8273484351458862
3,GATREE,wine,4,0.847593909168075
4,CART,abalone,0,0.5698751803319476
4,CART,abalone,1,0.5515119448032421
4,CART,abalone,2,0.5434827178918832
4,CART,abalone,3,0.5883924893676072
4,CART,abalone,4,0.5528419844838514
4,CART,cars,0,0.24620977760022122
4,CART,cars,1,0.3128457105111946
4,CART,cars,2,0.2740357747754214
4,CART,cars,3,0.301087135134037
4,CART,cars,4,0.21171663105531063
4,CART,cholesterol,0,1.7753546138396286
4,CART,cholesterol,1,1.2748058433327474
4,CART,cholesterol,2,1.6773623920929082
4,CART,cholesterol,3,1.3344950998488758
4,CART,cholesterol,4,1.6975252870827275
4,CART,wage,0,1.1615504901177252
4,CART,wage,1,1.3644223823557713
4,CART,wage,2,0.9727182194705676
4,CART,wage,3,1.3992724833554684
4,CART,wage,4,1.0263865363600089
4,CART,wine,0,0.8070914864644845
4,CART,wine,1,0.8116570102194361
4,CART,wine,2,0.80918900116722
4,CART,wine,3,0.8072691859560165
4,CART,wine,4,0.8008949351813701
4,GATREE,abalone,0,0.5500923902094077
4,GATREE,abalone,1,0.5972581506661767
4,GATREE,abalone,2,0.5497388764251315
4,GATREE,abalone,3,0.5973123581468643
4,GATREE,abalone,4,0.6343863429573304
4,GATREE,cars,0,0.09203244778155499
4,GATREE,cars,1,0.0940251514358957
4,GATREE,cars,2,0.13305744003118775
4,GATREE,cars,3,0.10449482784419464
4,GATREE,cars,4,0.07881394204449332
4,GATREE,cholesterol,0,1.4424000204669243
4,GATREE,cholesterol,1,1.0920972601701588
4,GATREE,cholesterol,2,1.5042914173354553
4,GATREE,cholesterol,3,1.3206702602582987
4,GATREE,cholesterol,4,1.3559655563847723
4,GATREE,wage,0,1.2404651326955651
4,GATREE,wage,1,0.9658371405636785
4,GATREE,wage,2,1.1200370086944338
4,GATREE,wage,3,1.4259638687657883
4,GATREE,wage,4,1.1880441299281108
4,GATREE,wine,0,0.8338879728445213
4,GATREE,wine,1,0.8596077908793186
4,GATREE,wine,2,0.8281189208248295
4,GATREE,wine,3,0.8692508966445713
4,GATREE,wine,4,0.8457621672726564
3,LLEGO,abalone,0,0.5965625620646577
3,LLEGO,abalone,1,0.5599632761920329
3,LLEGO,abalone,2,0.5755087001032848
3,LLEGO,abalone,3,0.629171925290097
3,LLEGO,abalone,4,0.5583261553115795
4,LLEGO,abalone,0,0.5326040818142151
4,LLEGO,abalone,1,0.596987727901017
4,LLEGO,abalone,2,0.5613608937967512
4,LLEGO,abalone,3,0.5983266622531386
